model,species_key,common_name,scientific_name,rows,trials,detections,positive_locality_seasons,observed_detection_rate,mean_predicted_detection_rate,calibration_error,weighted_bce,positive_triplet_auroc,positive_triplet_auprc
availability,avibase-3AC46C54,Double-crested Cormorant,Nannopterum auritum,36,596,16,7,0.026845637583892617,0.06755493366278258,0.040709296078889956,0.1394813005432336,0.5812807881773399,0.2827705627705628
availability,avibase-41062654,Northern Parula,Setophaga americana,36,596,81,15,0.13590604026845637,0.11371389221425024,0.022192148054206134,0.3834545135383736,0.7142857142857143,0.7228558724839261
availability,avibase-42101632,Scarlet Tanager,Piranga olivacea,36,596,50,7,0.08389261744966443,0.07665923185296507,0.007233385596699365,0.2775731085751127,0.8916256157635468,0.7734107997265891
availability,avibase-43E56D2C,Fish Crow,Corvus ossifragus,36,596,85,21,0.14261744966442952,0.10503936097675921,0.037578088687670305,0.41014146774035914,0.48253968253968255,0.6685766179880954
availability,avibase-448D91B7,Red-headed Woodpecker,Melanerpes erythrocephalus,36,596,1,1,0.0016778523489932886,0.007751522718572477,0.006073670369579188,0.015608713766186838,0.8857142857142857,0.2
availability,avibase-49D9148A,Great Egret,Ardea alba,36,596,8,3,0.013422818791946308,0.01438694106939955,0.0009641222774532422,0.07042071320290098,0.5757575757575758,0.4174603174603175
availability,avibase-4D207AF6,Black-and-white Warbler,Mniotilta varia,36,596,23,8,0.03859060402684564,0.05248316677424732,0.01389256274740168,0.16314452195693507,0.8616071428571429,0.5796092796092797
availability,avibase-4E192262,Swamp Sparrow,Melospiza georgiana,36,596,46,8,0.07718120805369127,0.07557063302862764,0.0016105750250636347,0.26221440233298987,0.8169642857142857,0.6155719280719281
availability,avibase-4E74AE22,Northern Cardinal,Cardinalis cardinalis,36,596,403,33,0.6761744966442953,0.6486585324242611,0.027515964220034217,0.6181954282819746,0.696969696969697,0.938337070996603
availability,avibase-4FF7DE80,Black Vulture,Coragyps atratus,36,596,103,17,0.17281879194630873,0.18959191389031857,0.016773121944009844,0.4544503061806719,0.5851393188854489,0.6587450133252355
